,price,diff,value,unit,adj_cash,free_cash,asset_value,equity
0,258.94875,0.5000000000000001,450.0,0.9930260607276813,0.0,480.0,257,737.0
1,241.6855,0.4,420.0,0.9930260607276813,180.0,480.0,240,720.0
2,224.42225,0.3,390.0,1.0694126807836568,150.0,450.0,240,690.0
3,207.159,0.2,360.0,1.4481630052278684,60.0,360.0,300,660.0
4,189.89575,0.1,330.0,1.5798141875213112,30.0,330.0,300,630.0
5,172.6325,0.0,300.0,1.7377956062734423,0.0,300.0,300,600.0
6,155.36925,-0.1,270.0,1.9308840069704913,-30.0,270.0,300,570.0
7,138.106,-0.2,240.0,2.172244507841803,-60.0,240.0,300,540.0
8,120.84275,-0.3,210.0,2.9790781821830437,-150.0,150.0,360,510.0
9,103.5795,-0.4,180.0,3.4755912125468846,-180.0,120.0,360,480.0
10,86.31625,-0.5,150.0,4.170709455056262,-210.0,90.0,360,450.0
